Reference,Product,Country,Study % of Country,Overlap Study %,"GHG Emis 
(kg CO2 eq)",Seed,Fertilizer and pesticide production and transport to farm,Machinery production and transport to farm; greenhouse and trellis infrastructure,Electricity and fuel use,Synthetic fertilizer (N2O direct),Synthetic fertilizer (N2O indirect),Organic fertilizer (N2O direct and indirect); excretion on pasture included under manure management,Crop residue (N2O direct and indirect),Cultivated organic soils (N2O),Urea hydrolysis (CO2),Lime application (CO2),Flooded rice (CH4),Residue burning (CH4 and N2O),"Fuel use for drying, grading and storage",Feed processing and transport,Animal housing and other farm inputs,Enteric fermentation(CH4),Manure management and aquaculture ponds (CH4),Manure management and aquaculture ponds (N2O direct),Manure management and aquaculture ponds (N2O indirect),LUC Burn,Acid Pot (kg SO2 eq),Eutr Pot (kg PO43- eq),Freshwtr. Withdr. (L),Wtr Sc. (L eq)
Spugnoli et al. (2012),Sunflower seeds,Italy,1,0.125,2.838140915,0.002754536,0.452244804,0.031903138,0.300825433,0.391770208,,0,0.12315299,0,0,0,0,0.066021883,0.115667658,0,0,0,0,0,0,0,0.014681403,0.01475616,15.15158363,712.5794103
Spugnoli et al. (2012),Sunflower seeds,Italy,1,0.125,3.867694001,0.004284834,0.751209392,0.043728478,0.411427214,0.737167215,,0,0.136374464,0.140749042,0,0,0,0.102822709,0.115667658,0,0,0,0,0,0,0,0.047677852,0.028528901,15.62156429,737.8989605
Nemecek et al. (2008),Sunflower seeds,Spain,1,0.5,3.66802443,2.173673982,,,,,,,,,,0,0,0.065470849,Incl,0,0,0,0,0,0,0,0.013787758,0.094627909,5.031420519,231.4133511
Nemecek et al. (2005),Sunflower seeds,Switzerland,1,1,3.797318513,0.00469952,2.122470649,,,,,,,0.017307972,0,0,0,0,0.092405536,0,0,0,0,0,0,0.000167319,0.022333719,0.049721617,2.870596636,2.357735841
Vellinga et al. (2013),Sunflower seeds,Ukraine,1,0.5,4.178055027,0.042097249,0.387382732,1.151952315,,0.469359991,,0.07554767,0.139843559,Incl,0.223428215,0,0,0,0.040184931,0,0,0,0,0,0,0,0.045781988,-,3598.675681,107460.5005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapeseed (Oil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCAS (2012),Canola oil,Australia,0.283040936,1,1.952156338,-,-,-,-,0.16516045,0.055053429,0,0.030556766,0.083276616,0,0,0.001318146,0,0,0,0,0,0,0,0,0,0.063971398,0.009183291,1.432743462,36.48416752
Grant et al. (2008),Canola oil,Australia,0.387134503,0.25,2.389729475,0.012188323,0.305319023,0.01658137,0.1509579,0.107713743,0.068393473,0,0.099365142,0.120566527,0,0,0,0.173833609,0,0,0,0,0,0,0,0,0.034800626,0.010881288,1.432743462,36.48416752
Narayanaswamy et al. (2004),Rapeseed oil,Australia,0.387134503,0.25,7.82611535,4.793159,,,,,,,,,,0,0,0.328272282,0,0,0,0,0,0,0,0,0.023192281,0.00333076,11.64546856,169.9149645
Rustandi and Wu (2010),Canola oil,Australia,0.387134503,0.25,3.881148197,0.016094604,0.629083097,0.044869045,0.178321186,1.174366285,,,,0.113603316,0,0,0,0.145480852,Incl,0,0,0,0,0,0,0,-,0.011472488,1.432743462,36.48416752
Meul et al. (2012),Rapeseed oil,Belgium,1,1,3.414056096,0.017785292,1.678213171,,,,,,,0.03191102,Incl,0,0,0.310226253,Incl,0,0,0,0,0,0,0,0.02060394,-,195.3918346,444.6864247
Xu and Lan (2016),Rapeseed oil,China,1,1,3.837428517,0.02450922,1.000845122,0.012477297,0.21265908,0.503529367,0.080492897,0.496045107,,0.048136524,NC,0,0.002470401,0.008729438,Incl,0,0,0,0,0,0,0,-,-,754.5163706,34328.31921
Schmidt (2010),Rapeseed oil,Denmark,1,0.333333333,3.603012383,0.002325065,1.48074,,,,,,,0.02590229,0,0,0,0,0,0,0,0,0,0,0,0,0.023076785,0.019408465,1.432743462,6.920767
Garcia-Launay et al. (2014),Rapeseed oil,France,0.5004,0.25,2.274201202,Incl,Incl,Incl,Incl,Incl,Incl,Incl,Incl,0,Incl,0,NC,0.166849056,0,0,0,0,0,0,0,0.001853861,0.0174672,0.012632845,1.432743462,3.316228017
Hetherington (2014),Rapeseed oil,Germany,0.8291,0.2,3.080932569,1.68608124,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.028663044,0.055747349,7.238702818,8.989165933
Pehnelt and Vietze (2013a),Rapeseed oil,Germany,0.8291,0.2,3.133143365,0.002869549,0.518173505,0.016524023,0.830612409,,,,,0.027819963,0,0,0,0.516344036,Incl,0,0,0,0,0,0,0,0.018389185,-,1.432743462,1.779209486
Thamsiriroj and Murphy (2009),Rapeseed oil,Ireland,1,1,3.357861388,0.013532753,0.814424912,0.023807918,0.167847027,0.295146423,,,,0,0,0,0,0.587720309,0.16888168,0,0,0,0,0,0,0,-,-,1.432743462,1.020356911
D'Avino et al. (2015),Rapeseed oil,Italy,0.0456,1,3.772997299,0.004296919,0.377054617,0.030972307,1.286667654,0.397987579,,,,0.020673284,0,0,0,0.117639377,0.119407295,0,0,0,0,0,0,0,0.025409886,-,5302.529639,257130.2236
Pehnelt and Vietze (2013a),Rapeseed oil,Poland,1,0.5,4.307217256,0.003965205,0.711319047,0.02283325,1.031139214,,,,,0.036791329,0,0,0,1.08099446,Incl,0,0,0,0,0,0,0,0.022196115,-,1.432743462,2.78033898
Pehnelt and Vietze (2013a),Rapeseed oil,Romania,1,1,3.277080184,0.004218563,0.665806454,0.011190301,1.091352411,,,,,0.032577304,0,0,0,0.132198274,0,0,0,0,0,0,0,0,0.020228003,-,1.432743462,3.641876278
Stephenson et al. (2010),Canola oil,South Africa,1,1,3.669035197,0.013494247,0.433689616,0.040137248,0.207156214,0.351078622,,0,0.271124554,0.052946508,0.396360851,0,0,0.08918173,0,0,0,0,0,0,0,0,0.022548768,0.013850728,1.494559922,29.26590446
Esteban et al. (2011),Rapeseed oil,Spain,1,1,4.429227908,3.058904315,,,,,,,,0,-,0,0,0.066511419,Incl,0,0,0,0,0,0,0,0.021661906,0.005639374,4994.788825,395154.7551
Bernesson et al. (2004),Rapeseed oil,Sweden,0.133912683,0.5,6.30814331,1.145266905,,0.159539699,,1.435180403,0.068907686,0,0.116644391,0.047287515,0,0,0,1.649510147,0.051279805,0,0,0,0,0,0,0,0.019659786,0.003648662,1.432743462,5.768970204
Mortimer and Elsayed (2006),Rapeseed oil,United Kingdom,1,1,2.641890193,0.001517103,0.548498374,0.0104328,0.062433353,0.374480816,0.046204008,0,0.093803645,0,0,0,0,0.26698818,0.023375588,0,0,0,0,0,0,0,0.014997085,-,1.432743462,4.488842576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eady et al. (2012),Canola,Australia,0.387134503,0.25,2.120353356,0.530496254,,,,,,,,,,0,0,0.175199594,0.117368477,0,0,0,0,0,0,0,-,0.014504387,1.432743462,36.48416752
Gustafson et al. (2014),Canola,Australia,0.329824561,1,9.497954313,Incl,Incl,NC,4.600425519,,NC,0,0.08500336,NC,NC,0,0.107978972,0.165563259,0,0,0,0,0,0,0,0,-,-,84.22601474,6135.058056
Gan et al. (2012b),Canola,Canada,0.8,0.133333333,3.526906211,0.015772372,0.797905962,NC,0.110976357,0.607691948,,,,Incl,0,0,0,0.563992413,0,0,0,0,0,0,0,0,-,-,1.432743462,3.751438171
Gan et al. (2012b),Canola,Canada,0.8,0.133333333,2.97352138,0.011945498,0.609396878,NC,0.084757664,0.454451036,,,,Incl,0,0,0,0.430746519,0,0,0,0,0,0,0,0,-,-,1.432743462,3.751438171
Gan et al. (2012b),Canola,Canada,0.8,0.133333333,3.432109348,0.015183897,0.756393287,NC,0.105202587,0.598394251,,,,Incl,0,0,0,0.534649564,0,0,0,0,0,0,0,0,-,-,1.432743462,3.751438171
MacWilliam et al. (2016),Canola,Canada,0.4,0.266666667,2.768648296,1.028803856,,,,,,,,,0,0,0,0.375518248,Incl,0,0,0,0,0,0,0,-,-,42.00816438,395.3383333
MacWilliam et al. (2016),Canola,Canada,0.2,0.666666667,2.623008993,0.914462031,,,,,,,,,0,0,0,0.356943734,Incl,0,0,0,0,0,0,0,-,-,41.6780423,392.1523781
MacWilliam et al. (2016),Canola,Canada,0.4,0.266666667,2.599570476,0.844094336,,,,,,,,,0,0,0,0.405920487,Incl,0,0,0,0,0,0,0,-,-,41.47922988,390.2336711
Gustafson et al. (2014),Canola,Canada,1,0.111111111,7.883706623,Incl,Incl,NC,3.106886098,,NC,0,0.095193017,NC,NC,0,0.02347369,0.429110647,0,0,0,0,0,0,0,0,-,-,98.79821772,943.4100518
Pelletier et al. (2008),Canola,Canada,1,0.111111111,3.178534123,0.385913664,,0.020990077,0.176673509,0.63406967,,,,0.027424485,NC,0,NC,0.533329141,Incl,0,0,0,0,0,0,0,0.046634366,-,1.432743462,3.751438171
Pelletier et al. (2008),Canola,Canada,1,0.111111111,2.951677906,0.079243602,,0.027251321,0.189199131,0.682624333,,,,0,NC,0,NC,0.593043967,Incl,0,0,0,0,0,0,0,0.045863864,-,1.432743462,3.751438171
Iriarte et al. (2010),Rapeseed,Chile,1,1,2.762036567,0.401698382,,,,0.47861492,,0,0.073358286,0.201640282,,0,0.088302804,0.074653054,0,0,0,0,0,0,0,0,0.046178272,0.015952189,1.494559922,58.65929489
Dalgaard et al. (2008),Rapeseed,Denmark,1,0.333333333,4.948848585,2.839372859,,,,,,,,0.040743672,NC,0,NC,0.520270256,Incl,0,0,0,0,0,0,0,0.027847976,0.026928474,680.260935,2231.807318
Mogensen et al. (2014),Rapeseed,Denmark,1,0.333333333,3.531808627,0.729133305,,,,0.794507779,,,,0.036434649,NC,0,0,0.41491378,Incl,0,0,0,0,0,0,0,0.021265129,-,136.1206998,448.3659315
Carrouée et al. (2012),Winter rapeseed,France,0.1972,0.25,3.693404969,0.00119935,1.069838763,0.282423408,,0.212960897,,,,0.032702642,NC,0,0,0,0,0,0,0,0,0,0,0.002026829,0.026839132,0.025119625,76.85839682,313.6746894
Carrouée et al. (2012),Winter rapeseed,France,0.1972,0.25,3.733792345,0.000936258,1.041351444,0.313621652,,0.190106681,,,,0.031551242,NC,0,0,0,0,0,0,0,0,0,0,0.002199326,0.02658393,0.020044683,83.30895459,340.2171865
Carrouée et al. (2012),Winter rapeseed,France,0.1972,0.25,3.336597105,0.000971122,0.894384616,0.21666135,,0.176622391,,,,0.027124119,NC,0,0,0,0,0,0,0,0,0,0,0.001884121,0.023545232,0.016224129,73.62852255,300.384532
Carrouée et al. (2012),Winter rapeseed,France,0.1972,0.25,3.368731106,0.000753469,0.852968581,0.228551581,,0.185510054,,,,0.02557738,NC,0,0,0,0,0,0,0,0,0,0,0.002036672,0.022959831,0.018253148,79.51631496,324.6113847
Carrouée et al. (2012),Winter rapeseed,France,0.1102,0.333333333,3.82220403,0.001312689,0.998590984,0.31854181,,0.21242241,,,,0.02858781,NC,0,0,0,0,0,0,0,0,0,0,0.002492165,0.025598202,0.025696977,1.432743462,3.316228017
Carrouée et al. (2012),Winter rapeseed,France,0.1102,0.333333333,3.861906184,0.001263102,1.158829109,0.285098508,,0.207205807,,,,0.03408486,NC,0,0,0,0,0,0,0,0,0,0,0.00222966,0.028031997,0.024955036,1.432743462,3.316228017
Carrouée et al. (2012),Winter rapeseed,France,0.1102,0.333333333,3.540114561,0.000824639,0.983579295,0.225130506,,0.196547528,,,,0.027825592,NC,0,0,0,0,0,0,0,0,0,0,0.002092272,0.024620328,0.021768899,1.432743462,3.316228017
Carrouée et al. (2012),Winter rapeseed,France,0.093,0.333333333,3.715746156,0.00228301,0.938999423,0.369161272,,0.210111773,,,,0.032435526,NC,0,0,0,0,0,0,0,0,0,0,0.002221974,0.027106123,0.02492408,1.432743462,3.316228017
Carrouée et al. (2012),Winter rapeseed,France,0.093,0.333333333,3.44854061,0.001904944,0.809357536,0.324752871,,0.191955216,,,,0.026673121,NC,0,0,0,0,0,0,0,0,0,0,0.002074711,0.024135989,0.02030191,1.432743462,3.316228017
Koch and Salou (2015),Rapeseed,France,0.5004,0.25,4.125881389,0.002812768,0.658187633,0.190565009,,0.700233166,,,,0.031086427,,0,0,0.231593239,0,0,0,0,0,0,0,0.002573234,0.026403079,0.016730137,1.432743462,3.316228017
Nemecek et al. (2008),Rapeseed,France,0.093,0.333333333,4.899607985,2.239322567,,,,,,,,,,0,0,0.244931859,Incl,0,0,0,0,0,0,0.00272144,0.027463509,0.037135202,9.148157469,13.5759541
Nguyen et al. (2013a),Rapeseed,France,0.0992,1,3.375117558,1.715085083,,,,,,,,0.034953862,0,0,0,0.245384254,Incl,0,0,0,0,0,0,0.002726466,0.01638782,0.017204705,1.432743462,3.316228017
van der Werf (2004),Rapeseed,France,0.5004,0.25,4.088215553,1.438347101,,,,,,0,0.098076142,0,0.039114132,0,0,0.225829375,0,0,0,0,0,0,0,0.002509192,0.015045375,0.013188808,1.432743462,3.316228017
Vellinga et al. (2013),Rapeseed,France,0.5004,0.25,4.134764429,0.016445769,0.43961449,0.164251568,,0.668278437,,0.103059807,0.114331974,Incl,0.091787641,0,0,0,0.035426809,0,0,0,0,0,0,0.002534754,0.057500703,-,1.361106289,3.150416616
Nemecek et al. (2005),Winter rapeseed,Germany,0.8291,0.2,2.920486362,0.002905917,1.538506536,,,,,,,0,0,0,0,0,0.024271794,0,0,0,0,0,0,0,0.016812663,0.027925442,1.432743462,1.779209486
Nemecek et al. (2008),Rapeseed,Germany,0.125,1,3.352095395,1.363912763,,,,,,,,,,0,0,0.601493364,Incl,0,0,0,0,0,0,0,0.014724431,0.012951691,6.550482414,14.18363634
Neufeldt and Schäfer (2008),Rapeseed,Germany,0.0459,1,2.582594102,0,Incl,NC,Incl,Incl,Incl,Incl,Incl,NC,NC,0,0,0.676389141,Incl,0,0,0,0,0,0,0,-,-,1.432743462,1.779209486
Queirós et al. (2015); Jungbluth et al. (2007),Rapeseed,Germany,0.8291,0.2,3.359296487,Incl,0.496841479,0.003549458,0.112936489,0.745746629,,,,,,0,0,0.555063145,0.057938004,0,0,0,0,0,0,0,0.026056708,0.006502669,1.432743462,1.779209486
Vellinga et al. (2013),Rapeseed,Germany,0.8291,0.2,3.048134472,0.015675397,0.381643349,0.162641258,,0.579711415,,0.191626829,0.111111355,Incl,0.080515474,0,0,0,0.043478356,0,0,0,0,0,0,0,0.06174378,-,1.361106289,1.690249011
Khojastehpour et al. (2015),Canola,Iran (Islamic Republic of),0.173,1,7.08916702,0.019059073,1.099775251,0.223975559,1.684172808,1.543068538,0.205272522,0,0.025984065,0.275391498,0,0,0,0,0,0,0,0,0,0,0,0,0.089649574,0.034014486,1.494559922,61.2903929
Khojastehpour et al. (2015),Canola,Iran (Islamic Republic of),0.274,0.5,4.866741811,0.001729914,0.512802607,0.209365215,1.231857637,0.897913683,0.077580343,0.073242628,0.025938672,0.114383182,0,0,0,0,0,0,0,0,0,0,0,0,0.040174312,0.016120117,309.4305077,28768.17262
Mohammadi et al. (2014),Canola,Iran (Islamic Republic of),0.274,0.5,2.415347505,0.00245431,0.074248793,0.015759756,0.38965105,0.200202875,,0.006066754,0.009238011,0.14512918,0,0,0.053773499,0,0.117368477,0,0,0,0,0,0,0,0.042948275,0.017035012,682.4797893,63545.15097
Palmieri et al. (2014),Rapeseed,Italy,0.151318015,0.333333333,3.137251799,1.555352317,,,,,,,,0.026178419,0,0,0,0.067151232,0.117368477,0,0,0,0,0,0,0,0.033836053,0.007597479,528.8511122,5217.556525
Palmieri et al. (2014),Rapeseed,Italy,0.151318015,0.333333333,3.589537403,1.964920961,,,,,,,,0.027426834,0,0,0,0.075113828,0.117368477,0,0,0,0,0,0,0,0.041040972,0.00932586,528.4005222,5213.120732
Palmieri et al. (2014),Rapeseed,Italy,0.151318015,0.333333333,3.289276943,1.691957837,,,,,,,,0.031501629,0,0,0,0.065985412,0.117368477,0,0,0,0,0,0,0,0.036237692,0.008173606,529.142024,5220.42038
Palmieri et al. (2014),Rapeseed,Italy,0.003103551,1,7.747500353,5.728315478,,,,,,,,0,0,0,0,0.189081398,0.117368477,0,0,0,0,0,0,0,0.069065889,0.016147732,12110.24951,1044364.866
Palmieri et al. (2014),Rapeseed,Italy,0.093962001,1,13.63805506,10.52750892,,,,,,,,0.222093675,0,0,0,0.621968474,0.117368477,0,0,0,0,0,0,0,0.190760546,0.045538954,791.7819882,999.1836484
Bonesmo et al. (2012),Rapeseed,Norway,1,1,6.155302402,0.018399634,0.508056159,0.036225772,0.268970908,0.911512521,,,,0.044430242,NC,0,0,2.508928453,Incl,0,0,0,0,0,0,0,-,-,1.432743462,0.910809346
Queirós et al. (2015); Borz_cka-Walker et al. (2013),Rapeseed,Poland,1,0.5,3.923985277,Incl,0.628413872,0.013416953,0.116542897,0.7059973,,,,,,0,0,0.963010645,0.015796943,0,0,0,0,0,0,0,0.030392327,0.008637587,1.432743462,2.78033898
Flysjö et al. (2008); Sikfoder.se (2015),Winter rapeseed,Sweden,0.580923113,1,3.552830249,0.594433904,,0.014209762,Incl,0.602898987,,,,0.030163865,0,0,0,0.964229294,Incl,0,0,0,0,0,0,0,0.011979827,0.013822388,1.432743462,5.768970204
Flysjö et al. (2008); Sikfoder.se (2015),Winter rapeseed,Sweden,0.09025175,1,5.486953669,0.867936885,,0.023704125,Incl,0.846454196,,,,0.042694135,0,0,0,2.205162641,Incl,0,0,0,0,0,0,0,0.014523668,0.020534297,1.432743462,5.768970204
Flysjö et al. (2008); Sikfoder.se (2015),Winter rapeseed,Sweden,0.133912683,0.5,4.368577991,0.776649285,,0.020982816,Incl,0.693970647,,,,0.037792713,0,0,0,1.427290875,Incl,0,0,0,0,0,0,0,0.013668053,0.009574085,1.432743462,5.768970204
Flysjö et al. (2008); Sikfoder.se (2015),Spring rapeseed,Sweden,0.008397394,1,4.841798525,0.790881323,,0.025448235,Incl,0.753123678,,,,0.035632912,0,0,0,1.787115416,Incl,0,0,0,0,0,0,0,0.013447748,0.024968733,1.432743462,5.768970204
Flysjö et al. (2008); Sikfoder.se (2015),Spring rapeseed,Sweden,0.036050387,1,6.216098737,0.995321894,,0.029558304,Incl,0.753123678,,,,0.041387878,0,0,0,2.837608413,Incl,0,0,0,0,0,0,0,0.014467557,0.026853181,1.432743462,5.768970204
Flysjö et al. (2008); Sikfoder.se (2015),Spring rapeseed,Sweden,0.150464673,1,5.421800512,0.941142,,0.03045535,Incl,0.769407543,,,,0.042643933,0,0,0,2.142341278,Incl,0,0,0,0,0,0,0,0.014707664,0.014328594,1.432743462,5.768970204
Nemecek et al. (2005),Winter rapeseed,Switzerland,0.03386063,1,3.703159803,0.004713174,2.128637416,,,,,,,0.01735826,0,0,0,0,0.092674017,0,0,0,0,0,0,5.26669E-05,0.033893008,0.061294634,1.432743462,1.176769515
Nemecek et al. (2005),Winter rapeseed,Switzerland,0.779174891,1,3.687839782,0.005134583,2.110991157,,,,,,,0.017255491,0,0,0,0,0.092674258,0,0,0,0,0,0,5.72467E-05,0.033534528,0.043594713,1.432743462,1.176769515
Nemecek et al. (2005),Winter rapeseed,Switzerland,0.186056616,1,3.75176504,0.005956723,2.166782824,,,,,,,0.013286089,0,0,0,0,0.092673915,0,0,0,0,0,0,6.62426E-05,0.045722839,0.066168878,1.432743462,1.176769515
Nemecek et al. (2005),Winter rapeseed,Switzerland,0.000907864,1,4.354768901,0.007901839,2.719420227,,,,,,,0,0,0,0,0,0.092673845,0,0,0,0,0,0,8.71785E-05,0.078702975,0.066646627,1.432743462,1.176769515
Khojastehpour et al. (2015),Canola,Turkey,1,1,4.211572427,0.003904955,0.55584999,0.15799504,0.455617471,1.035050949,0.084633321,0,0.062998983,0.135135628,0,0,0.101406339,1.40258E-05,0,0,0,0,0,0,0,0,0.041870648,0.01749447,1.494559922,30.90388236
Glithero et al. (2012),Winter rapeseed,United Kingdom,0.99958,0.5,4.487259512,0.02786308,2.636250899,,,,,,,0.042891383,0,0,0,0.330162995,0.000718785,0,0,0,0,0,0,0,0.0226005,-,1.432743462,4.488842576
Williams et al. (2006); Williams et al. (2010),Rapeseed,United Kingdom,0.99958,0.5,3.434934393,Incl,0.547729091,0.056223634,0.172235109,1.064196593,,,,0.054150783,0.144240325,0,0,0,0.017688729,0,0,0,0,0,0,0,0.021426323,0.01754593,1.432743462,4.488842576
Williams et al. (2006); Williams et al. (2010),Rapeseed,United Kingdom,0.00042,1,3.486631282,Incl,0.317482643,0.115772285,0.377755778,1.094517965,,,,0,0.180553132,0,0,0,0.018596183,0,0,0,0,0,0,0,0.012633048,0.034246354,1.432743462,4.488842576
Camargo et al. (2013),Canola,United States of America,1,0.5,3.120729033,0.002166537,0.526351674,0.013729212,0.11229295,0.362224201,0.117722865,0,0.097413533,0.044354293,Incl,0,0.014240705,0.453851037,0.015301456,0,0,0,0,0,0,0,0.021261749,-,1.432743462,13.63106399
Gustafson et al. (2014),Canola,United States of America,1,0.5,7.739630222,Incl,Incl,NC,2.924331282,,NC,0,0.096343054,NC,NC,0,0.014084214,0.781899795,0,0,0,0,0,0,0,0,-,-,635.1273713,23135.77925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olives (Oil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avraamides and Fatta (2006),Extra virgin olive oil,Cyprus,1,1,12.32174031,0.076244775,2.601442594,0.071474556,2.63,1.434422735,0.222986749,NC,0.148564861,0,0,0,1.3627502,0,0,0,0,0,0,0,0,0,-,-,4395.954651,300478.5092
Busset et al. (2012); OiLCA (2016),Virgin olive oil,France,1,1,6.326790637,0.03559826,3.82,,,,,,0.039598086,0,0,0,0.095764183,0.614950205,0,0,0,0,0,0,0,0,-,-,2444.649916,20212.37263
"Nileas Group, Peza Union and Mirabello Union (2012)",Extra virgin olive oil,Greece,1,0.333333333,3.353050778,2.342666667,,,,,,,0.011472563,-,0,0,0.264524907,0.611062399,0,0,0,0,0,0,0,0,0.033924085,0.037445191,390.0982804,31082.73313
Georgiou et al. (2006),Extra virgin olive oil,Greece,1,0.333333333,5.353332673,Incl,0.512,NC,1.1424,0.774278262,0.192338894,NC,0.004023368,0,0,0,1.563263151,0.760259272,0,0,0,0,0,0,0,0,0.045810541,0.039859685,317.8714792,24395.65984
Rajaeifar et al. (2014a),Olive oil,Iran (Islamic Republic of),0.4,1,3.315975949,0.050085677,1.223902743,0.0024091,0.789881779,2.59825177,0.205169422,0.270887821,0.041706821,0.328474395,0,0,0.104391319,0,0,0,0,0,0,0,0,0,0.111775327,0.063740774,2360.562882,71851.90698
Apolio (2010),Extra virgin olive oil,Italy,0.214411765,0.333333333,1.885738302,0.706,,,,,,,0.052185089,-,0,0,0.13086287,0.218213457,0,0,0,0,0,0,0,0,0.009829239,0.017090935,3.213777721,130.3163796
Assoproli Bari (2014),Extra virgin olive oil,Italy,0.214411765,0.333333333,2.869692101,1.193,,,,,,,0.029421953,-,0,0,0.073780486,0.123028747,0,0,0,0,0,0,0,0,0.020070144,0.005865127,591.3436826,50637.00761
Iraldo et al. (2014),Extra virgin olive oil,Italy,0.063529412,1,4.787640205,0.021996315,Incl,0.136022977,2.20992222,,,,,-,-,0,0.098089845,0.235176705,0,0,0,0,0,0,0,0,0.06456703,0.021252684,171.9835377,2833.173798
Fantozzi et al. (2015),Extra virgin olive oil,Italy,0.016470588,0.5,4.911039757,0.022231297,0.27523424,0.045799151,0.221572219,1.803803349,,,,0.123735118,0,0,0,0.198507447,0,0,0,0,0,0,0,0,-,-,12.98386296,230.47012
Monini S.p.A. (2013),"Extra virgin olive oil (""GranFruttato"")",Italy,0.214411765,0.333333333,2.17611489,1.105,,,,,,,0.021328046,-,0,0,0.053483655,0.08918384,0,0,0,0,0,0,0,0,0.01138983,0.003206823,6131.722344,476013.4795
Rinaldi et al. (2014),Extra virgin olive oil,Italy,0.016470588,0.5,20.2739851,0.03820468,0.591321447,0.256692355,1.5,0.70565168,,0.15848131,0.035331937,0.183026873,0,0,0.81445889,0.468185101,0,0,0,0,0,0,0,0,-,-,24.34744988,432.1502651
Figueiredo et al. (2013a),Virgin olive oil,Portugal,0.262448047,1,5.251286128,0.026655926,1.026,0.108033564,0.864,0.729,,0,0.067594828,0,0,0,0.167141157,0.704997118,0,0,0,0,0,0,0,0,0.040645017,0.039237069,8.506113769,130.3676768
Figueiredo et al. (2013a),Virgin olive oil,Portugal,0.212793419,1,10.70587216,0.070201608,1.194,0.12297063,2.076,3.649,,0,0.081098903,0.061756997,0.415651039,0,0.199701122,0.842334218,0,0,0,0,0,0,0,0,0.059902896,0.053030306,8.506113769,130.3676768
Figueiredo et al. (2013a),Virgin olive oil,Portugal,0.371263828,1,3.942255636,0.019898609,0.576,0.022045181,0.518,1.016,,0,0.01785822,0.017880732,0,0,0.043172421,0.182100166,0,0,0,0,0,0,0,0,0.02952548,-,1458.158786,74105.15778
Figueiredo et al. (2013a),Virgin olive oil,Portugal,0.0498,1,7.416079297,0.017588789,0,0.073697089,0.305,0,0,0.355,0.357164392,0,0,0,0.863448419,3.642003312,0,0,0,0,0,0,0,0,0.043460022,-,8.506113769,130.3676768
Figueiredo et al. (2013a),Virgin olive oil,Portugal,0.103694706,1,11.3165421,0.03472497,0,0.075387485,1.97,0,0,0,0.530486421,0,0,0,1.282456125,5.40936708,0,0,0,0,0,0,0,0,0.051295574,-,8.506113769,130.3676768
Cortés (2006),Extra virgin olive oil,Spain,0.94,0.5,6.07571877,0.034203446,1.925,0.034802445,0.388,0.615525769,0.05556213,0,0.102028771,0,0,0,0.679463735,0.042448557,0,0,0,0,0,0,0,0,0.031495179,-,6907.50549,621151.5271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaltsas et al. (2007),Olives,Greece,1,0.333333333,5.135302778,0.025384595,0.243317069,2.050120683,,0.177049179,0.01310487,0.060153068,0.011088137,0.010064813,0,0,0.255612737,0.62061378,0,0,0,0,0,0,0,0,-,0.026433877,6589.343184,532468.5651
De Gennaro et al. (2012),Olives,Italy,0.002941176,1,5.765023858,0.026443734,2.570518192,,,,,,0.062557564,0.187589161,0,0,0,0.064862091,0,0,0,0,0,0,0,0,0.054702688,0.039496066,1132.300671,97791.01285
De Gennaro et al. (2012),Olives,Italy,0.000294118,1,6.928626278,0.105197446,3.352293275,,,,,,0.091874009,0.296186369,0,0,0,0.136645618,0,0,0,0,0,0,0,0,0.075836321,0.052382427,1408.2497,121766.629
Pergola et al. (2013a),Olives,Italy,0.018235294,0.5,3.684666408,0.007754988,0.463155924,,,0.198146131,0.012849149,0,0.007795876,0,0,0,0.179718219,0.129136955,0,0,0,0,0,0,0,0,0.026224983,0.027739153,8.506113769,150.9993408
Pergola et al. (2013a),Olives,Italy,0.018235294,0.5,3.600762048,0.007720269,0.352243377,,,0.162226708,0.014473066,0.27720969,0.037727692,0.013927144,0,0,0,0.055858068,0,0,0,0,0,0,0,0,0.037570913,0.030919597,2166.247804,172476.9465
